"Year","Location Description","Data Source","Topic Description","Measure Description","Sub-Measure","Data Value Type","Data Value"
"2016","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","7.488"
"2016","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","31.500"
"2016","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","39.900"
"2016","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.990"
"2016","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","802981080.000"
"2016","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.980"
"2015","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","7.396"
"2015","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","33.400"
"2015","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","40.400"
"2015","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.990"
"2015","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","852943608.000"
"2015","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.980"
"2014","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","7.248"
"2014","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","33.600"
"2014","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","41.300"
"2014","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.990"
"2014","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","858052008.000"
"2014","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.980"
"2013","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","7.051"
"2013","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","31.700"
"2013","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","42.400"
"2013","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.990"
"2013","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","808255800.000"
"2013","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.980"
"2012","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","6.854"
"2012","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","46.500"
"2012","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","43.600"
"2012","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.990"
"2012","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","588935400.000"
"2012","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.980"
"2011","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.871"
"2011","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","45.300"
"2011","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","33.900"
"2011","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.990"
"2011","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","570146571.000"
"2011","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.980"
"2010","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.884"
"2010","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","44.100"
"2010","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","33.800"
"2010","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.990"
"2010","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","558323640.000"
"2010","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.980"
"2009","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.631"
"2009","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","45.200"
"2009","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","35.300"
"2009","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.990"
"2009","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","571347840.000"
"2009","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.980"
"2008","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","4.949"
"2008","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","47.900"
